"Stat_ID","Station_Name","River","Start_Date","End_Date","split","source","Contact.Link","comment","Area_km2","Easting_X","Norting_Y","dem_mean","Qobs_mm_a"
"6335115","GROLSHEIM","NAHE","1972-11-01","2017-10-12","Validation","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",4013,4206379.54,5538514.58,349.23,239.75
"6335125","SCHWAIBACH","KINZIG","1914-01-01","2019-03-31","Training","GRDC","https://grdc.bafg.de/","",954,4205850,5369050,592.07,773.64
"6335290","STEIN","KOCHER","1911-06-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",1929,4302550,5461450,405.57,366.73
"6335304","FRANKFURT-AM-MAIN","MAIN","1963-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",24764,4261616.69,5557391.02,355.95,245.86
"6335350","LEUN-(NEU)","LAHN","1935-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",3571,4241750,5607750,322.21,306.67
"6335600","ROCKENAU-SKA","NECKAR","1950-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",12710,4282721.17,5481428.84,444.7,354.61
"6335601","LAUFFEN","NECKAR","1948-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",7916,4292550,5441350,489.65,353.19
"6335602","PLOCHINGEN","NECKAR","1918-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",3995,4310050,5400050,549.87,393.49
"6335800","KEMMERN","MAIN","1930-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",4251,4419150,5535550,427.92,332.93
"6337200","INTSCHEDE","WESER","1857-01-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",37720,4306865.81,5873878.3,223.18,275.941
"6337500","GREENE","LEINE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/287",2916,4358550,5749550,276.73,354.52
"6337501","MARKLENDORF","ALLER","1940-11-01","2018-12-31","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Marklendorf",7209,4344750,5841250,95.83,179.49
"6337502","CELLE","ALLER","1890-11-01","2018-12-31","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/223",4374,4368850,5833950,113.6,195.05
"6337504","SCHMITTLOTHEIM","EDER","2000-01-01","2009-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=42800309",1202,4283250,5673450,477.01,504.39
"6337506","GREBENAU","FULDA","1950-11-01","2018-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=42700202",2975,4325050,5675950,368.72,282.69
"6337507","GUNTERSHAUSEN","FULDA","1920-11-01","2018-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=42900100",6366,4323350,5679850,371.2,294.82
"6337508","ROTENBURG","FULDA","1920-11-01","2018-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=42700100",2523,4339950,5654550,375.74,286.36
